id,created,finished,lead_time,Cutting_start,Cutting_end,Cutting_wait_time,Drilling_start,Drilling_end,Drilling_wait_time,Assembly_start,Assembly_end,Assembly_wait_time,Painting_start,Painting_end,Painting_wait_time
P0,1.150896934732631,8.49094743301423,5.684566644480896,1.150896934732631,1.9590135541454845,0.0,1.9590135541454845,2.0688439656695965,0.0,2.0688439656695965,8.255654697785644,0.0,8.255654697785644,8.49094743301423,0.0
P1,1.214422306868084,17.41966413161697,18.188068540328864,1.9590135541454845,2.6851610957197267,0.7445912472774006,2.6851610957197267,5.900428369399078,0.0,5.900428369399078,15.562218619673892,0.0,15.562218619673892,17.41966413161697,0.0
P2,2.6926449153870062,13.629229924517938,10.108295347638727,2.6926449153870062,5.607199201481205,0.0,5.900428369399078,10.791920432221204,0.29322916791787357,10.791920432221204,11.391557448277167,0.0,11.391557448277167,13.629229924517938,0.0
P3,3.215600395217336,23.605433405124778,22.5458013440255,5.607199201481205,5.628555254934556,2.3915988062638687,10.791920432221204,18.471659079410742,5.163365177286648,18.471659079410742,21.275786437616183,0.0,21.275786437616183,23.605433405124778,0.0
P4,6.696850393085841,55.401218956883504,51.74493347046994,6.696850393085841,7.250362230469219,0.0,18.471659079410742,21.751137388756145,11.221296848941524,21.751137388756145,33.413791512777344,0.0,55.17081450634254,55.401218956883504,21.757022993565194
P5,7.57023007473286,53.93835469642912,46.34497334291794,7.57023007473286,8.91438698733019,0.0,21.751137388756145,25.268140493707932,12.836750401425956,25.268140493707932,27.28205945657328,0.0,47.9920248500814,53.93835469642912,20.70996539350812
P6,14.1884276364533,55.17081450634254,38.20273390871826,14.1884276364533,18.473875938118162,0.0,25.268140493707932,25.607728065930647,6.79426455558977,27.28205945657328,28.667977617937236,1.6743313906426316,53.93835469642912,55.17081450634254,25.270377078491887
P7,17.644460509204343,55.5178891072834,37.060196990613846,18.473875938118162,24.266441807513086,0.8294154289138191,25.607728065930647,26.04254213356913,1.3412862584175613,28.667977617937236,34.20568896308573,2.625435484368108,55.401218956883504,55.5178891072834,21.195529993797777
P8,25.238512399153386,55.79864605280776,33.27362293397111,25.238512399153386,26.085680238979712,0.0,26.085680238979712,30.209199697840273,0.0,33.413791512777344,36.226662318023365,3.2045918149370713,55.5178891072834,55.79864605280776,19.291226789260037
P9,25.33701823369285,58.18553045503526,33.657706754386616,26.085680238979712,27.572311211960574,0.7486620052868638,30.209199697840273,30.97573203940484,2.636888485879698,34.20568896308573,40.228373050530735,3.229956923680888,55.79864605280776,58.18553045503526,15.570273002277027
P10,25.893509574116052,59.5061273858943,33.322184325831074,27.572311211960574,36.60987236738805,1.678801637844522,36.60987236738805,39.934351003895046,0.0,39.934351003895046,50.84353956471959,0.0,58.34419786016479,59.5061273858943,7.500658295445199
P11,26.57746609204947,58.34419786016479,33.5108367352649,36.60987236738805,40.389646055388944,10.03240627533858,40.389646055388944,46.499402221894655,0.0,46.499402221894655,48.72694402656327,0.0,58.18553045503526,58.34419786016479,9.458586428471996
P12,27.548343867579604,61.32677405197745,34.58006883184072,40.389646055388944,41.241695307151446,12.84130218780934,46.499402221894655,50.85058456563797,5.25770691474321,50.85058456563797,52.52003695845948,0.0,59.5061273858943,61.32677405197745,6.986090427434824
